id_kab,id_prov,year,total_area (km2),population,densities,traffic_density,hdi,gross_regional_domestic_product,happiness_score,grdp_kapita,pca1,pca2,pca3
1101.0,11.0,2022.0,1838.09,94876.0,51.62,0.0,67.27,2688.0,72.37,0.0283317171887516,-1.1635451751346182,0.6713832009153503,-0.3309771969933618
1103.0,11.0,2022.0,4173.82,237376.0,56.87,0.0,67.87,6447.0,72.54,0.0271594432461579,-1.021378046885374,0.6772951909466554,-0.4497080781000042
1104.0,11.0,2022.0,4242.04,228308.0,53.82,0.0,70.32,5829.0,72.38,0.025531299823046,-0.8859549172341082,0.6251836779510007,-0.3981794510097637
1106.0,11.0,2022.0,4527.53,222673.0,49.18,0.0,73.95,8873.0,71.38,0.0398476690034265,-0.5817297617512192,0.5605507262851742,-0.2310380097107818
1107.0,11.0,2022.0,2927.95,202858.0,69.28,0.0,72.34,12730.0,72.36,0.0627532559721578,-0.5645621748306071,0.6056592631998048,-0.1149986240214584
1108.0,11.0,2022.0,2903.5,414490.0,142.76,0.0,74.0,15457.0,72.91,0.0372916113778378,-0.4157244403417254,0.5842542495779391,-0.4157094727491091
1110.0,11.0,2022.0,1798.0,443874.0,246.87,0.0,73.16,15470.0,73.03,0.0348522328408512,-0.4416716225317379,0.6038418263470583,-0.4751331265952744
1111.0,11.0,2022.0,3296.86,614640.0,186.43,0.0,70.22,28310.0,70.79,0.0460594819731875,-0.4023709887643112,0.6979136871384513,-0.6252461830598693
1112.0,11.0,2022.0,1882.05,155046.0,82.38,0.0,67.41,4546.0,71.79,0.0293203307405544,-1.0969629459698949,0.677156347786777,-0.375371419334677
1113.0,11.0,2022.0,5549.91,103131.0,18.58,0.0,68.25,3077.0,71.92,0.029835839854166,-1.0947423852317628,0.6541239507954801,-0.3070353371473532
1114.0,11.0,2022.0,1957.02,301492.0,154.06,0.0,70.43,10433.0,72.63,0.0346045666219999,-0.7472687579784678,0.6393059582007115,-0.40897983483375
1115.0,11.0,2022.0,3544.9,173393.0,48.91,0.0,70.1,10635.0,76.15,0.0613346559549693,-0.7451053197108662,0.6456120404826351,-0.1450318915806804
1116.0,11.0,2022.0,3727.0,96028.0,25.77,0.0,70.36,3122.0,72.21,0.0325113508560003,-0.9542189557656948,0.6113916243509024,-0.2398179618543206
1117.0,11.0,2022.0,1941.6,168690.0,86.88,0.0,73.9,5476.0,74.78,0.0324619123836623,-0.6641979904353494,0.5490060834115019,-0.2285755718863252
1171.0,11.0,2022.0,59.02,257635.0,1722.4921999999997,1.0,86.28,21561.0,73.76,0.0836881634871038,1.2886449350715523,0.3857134717195939,0.2146796772710586
1172.0,11.0,2022.0,122.13,43208.0,353.79,0.0,76.85,1643.0,70.92,0.0380253656730235,-0.5055448296072169,0.4774620930243498,-0.0243171344502128
1173.0,11.0,2022.0,239.83,192630.0,803.19,0.0,77.82,6263.0,72.96,0.0325131080309401,-0.2665610458793915,0.4787631789157546,-0.1722729227801047
1174.0,11.0,2022.0,181.0,191396.0,1057.44,0.0,78.04,10278.0,70.69,0.0537001818219816,-0.0871416864128234,0.4905126223084159,-0.0450865480940442
1201.0,12.0,2022.0,853.44,149249.0,174.88,0.0,63.69,4536.0,71.09,0.0303921634315807,-1.3100331575845452,0.7533105436811274,-0.4456341026181978
1202.0,12.0,2022.0,6620.7,484874.0,73.24,0.0,68.05,16404.0,71.33,0.0338314696189113,-0.7663993951153671,0.712021437513775,-0.6248973911321554
1203.0,12.0,2022.0,4355.35,307312.0,70.56,0.0,70.92,17052.0,71.41,0.055487582652158,-0.594581646446079,0.6459488940016616,-0.2811329261302999
