id_kab,id_prov,year,total_area (km2),population,densities,traffic_density,green_open_space,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated
1102,11.0,2022,1857.88,130787.0,70.4,0,685.53,69.62,3005.0,1,1926.13
1105,11.0,2022,6040.6,432849.0,71.66,0,0.09,68.72,13101.0,2,6319.6
1109,11.0,2022,3184.46,444505.0,139.59,0,0.42,71.2,12412.0,1,6489.77
1118,11.0,2022,952.11,162771.0,170.96,0,0.05,74.34,3980.0,1,2902.94
1175,11.0,2022,1391.0,95199.0,68.44,0,0.2,66.2,2365.0,1,1353.0
1205,12.0,2022,3793.71,318424.0,83.93,0,0.0,74.14,9646.0,1,5134.4092
1208,12.0,2022,3732.97,787681.0,211.01,0,121.92554600000001,71.13,46575.0,1,17256.5
1211,12.0,2022,2127.25,414429.0,194.82,0,0.01,75.36,23976.0,1,7076.635299999999
1212,12.0,2022,2498.0,1953986.0,782.22,0,421.45,76.19,127547.0,2,41121.1
1216,12.0,2022,1218.0,54609.0,44.83,0,0.01,68.85,1394.0,1,1613.7606
1221,12.0,2022,3892.74,267275.0,68.66,0,243.15177799999998,69.58,14587.0,1,4583.7523
1222,12.0,2022,3596.0,320324.0,89.08,0,70.67595300000002,72.16,34155.0,1,5314.6834
1224,12.0,2022,1242.0,150780.0,121.4,0,190.023729,63.75,4173.0,1,2557.2183999999997
1273,12.0,2022,79.97,274056.0,3426.99,1,0.71,79.7,15208.0,1,8812.14
1276,12.0,2022,90.45,300009.0,3316.85,1,1.899231,76.95,13316.0,1,7283.0766
1307,13.0,2022,2232.4,540905.0,242.3,0,736.62,73.29,23924.0,1,7799.36
1310,13.0,2022,3346.2,188649.0,56.38,0,0.5,69.71,6431.0,1,2698.87
1372,13.0,2022,58.72,75850.0,1291.72,0,11.47,79.23,4793.0,1,1981.02
1376,13.0,2022,80.43,143325.0,1781.98,0,8.53,79.53,8250.0,1,3660.88
1404,14.0,2022,12614.78,410988.0,32.58,0,321.41807500000004,72.93,65553.0,1,7125.7094
1409,14.0,2022,8881.59,658407.0,74.13,0,0.09,70.1,96084.0,3,12158.06
1502,15.0,2022,7679.0,357600.0,46.57,0,0.078511,69.98,20284.0,1,7377.84
1503,15.0,2022,6174.0,298100.0,48.28,0,0.04,70.89,20772.0,1,4286.56
1507,15.0,2022,5009.82,324500.0,64.77,0,220.83734200000004,68.79,50082.0,1,4643.5606
1509,15.0,2022,4659.0,373300.0,80.12,0,787.08,70.55,24897.0,1,5785.7
1601,16.0,2022,4797.0,375538.0,78.29,0,0.04,70.24,17614.0,1,5555.65
1605,16.0,2022,6357.09,402674.0,63.34,0,321.75647799999996,67.78,22342.0,1,9325.93
1608,16.0,2022,5493.94,426687.0,77.67,0,86.76812400000003,65.87,10328.0,1,6992.440400000001
1705,17.0,2022,4128.0,213755.0,51.7817345,0,443.36882699999995,67.76,5436.0,1,3841.716
1708,17.0,2022,665.0,153995.0,231.5714286,0,0.0,69.09,5161.0,1,2857.2983999999997
1872,18.0,2022,73.21,170169.0,2324.395574,1,0.28922,77.89,7224.0,1,3812.571
3172,31.0,2022,185.54,3066074.0,16525.13744,2,0.00914,83.45,547082.0,1,84425.243
3207,32.0,2022,1414.71,1247768.0,881.9956033,0,64.20081,71.45,36774.0,1,20975.849
3217,32.0,2022,1305.77,1846969.0,1414.467326,0,161.034434,69.04,52921.0,1,38213.21029999999
3218,32.0,2022,1010.0,432380.0,428.0990099,0,58.737509,69.03,13164.0,1,6756.5342
3277,32.0,2022,39.27,575235.0,14648.20474,2,0.37212,78.77,37538.0,1,10054.232
3278,32.0,2022,171.61,733467.0,4274.034147,1,35.245114,73.83,24975.0,1,13900.802300000001
3301,33.0,2022,2249.28,1988622.0,884.1149168,0,42.19192,70.99,121022.0,3,34705.578
3304,33.0,2022,1069.73,1038718.0,971.0095071,0,0.03849,68.61,24996.0,1,15752.476800000004
3371,33.0,2022,18.12,121675.0,6714.95585,1,130.11276099999998,80.39,10073.0,1,2938.462
3374,33.0,2022,373.7,1659975.0,4441.99893,1,109.33806,84.08,227374.0,1,43108.522
3501,35.0,2022,1390.0,592916.0,426.5582734,0,587.1372,69.37,17986.0,1,10499.996
3503,35.0,2022,1261.4,739669.0,586.3873474,0,0.007,71.0,20882.0,1,11149.874
3505,35.0,2022,1588.79,1240322.0,780.670825,0,0.1045,71.86,41379.0,1,14930.56
3511,35.0,2022,1560.1,781417.0,500.8762259,0,0.05403,67.31,22902.0,1,12060.1315
3517,35.0,2022,1159.5,1335972.0,1152.196636,0,0.30048,74.05,45936.0,1,19358.344
3519,35.0,2022,1010.86,757665.0,749.5251568,0,458.94622,72.39,21859.0,1,10952.088
3521,35.0,2022,1298.98,877432.0,675.4776825,0,0.72214,71.75,22455.0,4,13069.623
3523,35.0,2022,1839.94,1209543.0,657.3817624,0,35.25125,69.67,75188.0,1,18443.937
3525,35.0,2022,1194.0,1332664.0,1116.134003,0,29.83403,77.16,163908.0,1,14283.543
3526,35.0,2022,1260.15,1086620.0,862.2941713,0,0.17341,65.05,27164.0,1,15173.605
3574,35.0,2022,56.667,243200.0,4291.73946,1,6.49895,74.56,12931.0,1,3546.515
3578,35.0,2022,335.28,2887223.0,8611.378549,1,0.11504,82.74,655616.0,1,65104.342
3604,36.0,2022,1734.28,1661370.0,957.959499,0,1.6154,67.75,87983.0,1,41458.197
5107,51.0,2022,839.5,511300.0,609.0530077,0,0.1131,68.28,17669.0,2,11371.183
5202,52.0,2022,1208.39,1069583.0,885.1306284,0,51.49575299999999,67.57,19243.0,1,15326.35
5272,52.0,2022,222.25,159107.0,715.8920135,0,22.997403000000006,76.84,4575.0,1,3018.937
5302,53.0,2022,6984.01,251702.0,36.03975367,0,63.163163,66.17,6830.0,1,4458.5264
5305,53.0,2022,2623.2,267146.0,101.8397377,0,117.15669199999999,64.26,4493.0,1,4448.436299999999
5314,53.0,2022,1286.45,148084.0,115.1105756,0,71.227113,63.21,3517.0,1,2456.4793999999997
5318,53.0,2022,1396.16,163745.0,117.2824032,0,0.00845,66.22,2487.0,1,2957.7969000000003
5319,53.0,2022,2389.53,285374.0,119.4268329,0,89.72336200000001,62.3,3650.0,1,5099.8334
6102,61.0,2022,5396.3,294503.0,54.57498656,0,0.032,68.74,10325.0,1,4390.4515
6103,61.0,2022,9909.1,407994.0,41.17366865,0,0.02178,67.17,12776.0,1,6793.0807
6171,61.0,2022,107.8,669853.0,6213.849722,1,9.03758,80.48,44320.0,1,14656.071
6201,62.0,2022,10759.0,276570.0,25.70592062,0,107.72183000000003,73.41,26265.0,1,4973.691
6202,62.0,2022,16796.0,438392.0,26.10097642,0,12.076217000000002,71.67,33358.0,1,6792.6159
6203,62.0,2022,14999.0,420060.0,28.00586706,0,0.13325,70.01,22995.0,1,7723.583
6305,63.0,2022,2175.0,194850.0,89.5862069,0,0.02061,71.02,12771.0,1,2996.679
6306,63.0,2022,1804.94,234909.0,130.1478165,0,549.91307,69.76,8442.0,1,3533.01
6307,63.0,2022,1770.77,265009.0,149.6574936,0,199.42597,69.7,7948.0,1,3807.008
6371,63.0,2022,98.46,673514.0,6840.483445,1,3.68414,77.97,38498.0,1,17054.344
6402,64.0,2022,33052.0,155285.0,4.698202832,0,171.18892300000002,72.92,43410.0,1,2563.906
6471,64.0,2022,509.75,645299.0,1265.912702,0,197.1693,81.13,127372.0,1,18787.503
6474,64.0,2022,161.88,185251.0,1144.372375,0,32.18292,80.94,63108.0,1,3804.64
6502,65.0,2022,13880.0,155823.0,11.22644092,0,0.902,72.08,24239.0,1,3235.5039
7107,71.0,2022,1644.37,84543.0,51.41361129,0,207.002095,68.06,2982.0,1,1265.186
7108,71.0,2022,217.29,72517.0,333.7337199,0,0.002,68.94,2856.0,1,1077.655
7202,72.0,2022,8252.88,370971.0,44.95049001,0,0.00336,71.08,40766.0,1,6876.746
7209,72.0,2022,5572.86,169478.0,30.41131484,0,70.13806100000001,65.54,6376.0,1,2807.8116999999997
7304,73.0,2022,796.0,409893.0,514.9409548,0,77.87732500000001,65.13,11780.0,1,5920.417
7305,73.0,2022,555.43,308527.0,555.4741372,0,41.584475,68.31,12257.0,1,4023.0794
7307,73.0,2022,865.24,264622.0,305.8365309,0,194.19916,68.33,13530.0,1,3931.984
7308,73.0,2022,1442.95,402148.0,278.6984996,0,0.009,71.0,23544.0,1,5895.1
7313,73.0,2022,2608.71,383926.0,147.1708239,0,70.88666,70.26,24353.0,1,5542.846
7325,73.0,2022,6745.92,304297.0,45.1083025,0,8.28958,73.92,28410.0,4,4387.461
7401,74.0,2022,1669.33,118410.0,70.93264963,0,409.971171,67.23,4592.0,1,1885.3504
7471,74.0,2022,265.79,357650.0,1345.611197,0,25.0287,84.51,26456.0,1,9847.688
8104,81.0,2022,7594.98,137990.0,18.16857977,0,60.814707,69.94,2765.0,1,2154.5999
8105,81.0,2022,6425.77,103860.0,16.1630435,0,110.251033,64.21,4044.0,1,1488.4748000000002
8109,81.0,2022,5577.48,78515.0,14.07714595,0,41.718033,65.37,1632.0,2,1135.53
8203,82.0,2022,3304.32,104550.0,31.64039802,0,110.201944,64.7,2875.0,1,1515.3096
8272,82.0,2022,1703.32,115784.0,67.97548317,0,15.3425,71.55,3297.0,1,1690.446
9106,91.0,2022,7789.92,51961.0,6.67028673,0,41.844384999999996,63.08,2105.0,1,993.7535
9110,91.0,2022,5461.69,44686.0,8.181716648,0,41.844384999999996,60.49,784.0,1,995.742
9112,91.0,2022,2773.74,39472.0,14.23060561,0,41.758455999999995,57.01,280.0,1,1108.1966
9401,94.0,2022,46791.63,233621.0,4.992794652,0,7.945045000000002,71.24,17370.0,1,3392.412
9404,94.0,2022,3922.02,173291.0,44.18411941,0,0.08,69.91,12605.0,1,2622.6343000000006
9408,94.0,2022,2432.49,113498.0,46.65918462,0,167.21203299999996,68.41,4660.0,1,1677.978
9411,94.0,2022,6477.65,219249.0,33.84699698,0,91.302769,49.84,1448.0,1,3419.8201999999997
9420,94.0,2022,9365.0,65377.0,6.980993059,0,208.879529,67.24,3205.0,1,961.95
9430,94.0,2022,2248.0,202327.0,90.00311388,0,164.909327,49.62,2145.0,1,3394.3067
9436,94.0,2022,518.04,91460.0,176.5500734,0,42.584939,50.42,1572.0,1,1375.4026000000001
1101,11.0,2023,1838.09,96031.0,52.24499344,0,0.1227,68.06,2935.0,1,1647.621
1105,11.0,2023,6040.6,449796.0,74.46213952,0,0.29231199999999996,69.32,13803.0,2,6346.653799999999
1112,11.0,2023,1882.05,154800.0,82.25073723,0,0.71119,68.07,4965.0,1,2650.4771
1115,11.0,2023,3544.9,176461.0,49.7788372,0,68.870059,70.78,11950.0,1,2545.16
