id_kab,id_prov,year,total_area (km2),population,densities,traffic_density,hdi,gross_regional_domestic_product,happiness_score,grdp_kapita,pca1,pca2,pca3
1101,11,2022,1838.09,94876,51.62,0,67.27,2688.0,72.37,0.0283317171887516,-1.1635451751346186,0.6713832009153428,-0.33097719699336464
1103,11,2022,4173.82,237376,56.87,0,67.87,6447.0,72.54,0.0271594432461579,-1.0213780468853746,0.6772951909466467,-0.44970807810000807
1104,11,2022,4242.04,228308,53.82,0,70.32,5829.0,72.38,0.025531299823046,-0.8859549172341084,0.6251836779509924,-0.3981794510097657
1106,11,2022,4527.53,222673,49.18,0,73.95,8873.0,71.38,0.0398476690034265,-0.5817297617512188,0.5605507262851677,-0.23103800971078098
1107,11,2022,2927.95,202858,69.28,0,72.34,12730.0,72.36,0.0627532559721578,-0.5645621748306069,0.6056592631997997,-0.11499862402145794
1108,11,2022,2903.5,414490,142.76,0,74.0,15457.0,72.91,0.0372916113778378,-0.4157244403417252,0.5842542495779308,-0.4157094727491103
1110,11,2022,1798.0,443874,246.87,0,73.16,15470.0,73.03,0.0348522328408512,-0.4416716225317377,0.6038418263470494,-0.4751331265952765
1111,11,2022,3296.86,614640,186.43,0,70.22,28310.0,70.79,0.0460594819731875,-0.4023709887643115,0.6979136871384408,-0.6252461830598751
1112,11,2022,1882.05,155046,82.38,0,67.41,4546.0,71.79,0.0293203307405544,-1.0969629459698953,0.6771563477867691,-0.37537141933468027
1113,11,2022,5549.91,103131,18.58,0,68.25,3077.0,71.92,0.029835839854166,-1.094742385231763,0.654123950795473,-0.30703533714735537
1114,11,2022,1957.02,301492,154.06,0,70.43,10433.0,72.63,0.0346045666219999,-0.7472687579784679,0.6393059582007032,-0.40897983483375255
1115,11,2022,3544.9,173393,48.91,0,70.1,10635.0,76.15,0.0613346559549693,-0.7451053197108662,0.6456120404826295,-0.1450318915806812
1116,11,2022,3727.0,96028,25.77,0,70.36,3122.0,72.21,0.0325113508560003,-0.9542189557656948,0.6113916243508959,-0.2398179618543212
