id_kab,id_prov,pca3,pca2*sqrt(population),pca1/grdp_kapita,id_prov**3/grdp_kapita,pca1**3*sqrt(total_areakm2),sqrt(population)/grdp_kapita,Abs(pca1)/grdp_kapita,densities/grdp_kapita,happiness_score
7505,75,0.4644550051273046,-274.009461827643,-33.78166030255982,13126470.144752733,-52.82483098450786,11173.996085180483,33.78166030255982,2355.374909529557,76.1
8103,81,-0.5541372672103555,404.16871239993463,-27.314113611221174,22727005.712998275,-13.686147006564376,27946.442259023857,27.314113611221174,6619.146705387565,76.56
7103,71,0.6289063810025384,-322.869083552116,-16.119737383184493,8723344.866313009,-7.82707519526601,9048.535582128907,16.119737383184493,4589.42541114059,79.23
7206,72,-0.3772389708388571,339.139305326542,-23.739878841042408,8800638.957203258,-62.088036285575534,11274.408614560232,23.739878841042408,1456.9173342270803,76.42
6503,65,2.367746686193661,-112.10414774416361,1.0151679713235282,836265.2422126151,2.1932282980646725,504.70000183262823,1.0151679713235282,23.873716882828955,75.84
1709,17,-0.1728033843678618,230.57880589416155,-16.93493304708945,89938.30129870134,-27.69725737521288,6336.532988164989,16.93493304708945,1791.9927364400312,70.73
5319,53,0.1406879536019247,-370.2034958359594,-94.047343996639,10993383.14626718,-100.9914440231627,39819.28792182785,94.047343996639,8985.839283900488,70.43
9426,94,0.722828835607997,-145.08807588725574,-16.918357212825207,13441113.03819445,-71.9096375352251,3124.7749642922086,16.918357212825207,27.34880642361112,70.0
6371,63,0.3351005169843354,-688.6027601317795,26.3210496084094,4033214.2838355256,43.117203159961626,13283.79939029876,26.3210496084094,27549.09866890057,76.1
1613,16,-0.3544902091789214,318.6938732553478,-24.662524892639713,92167.90548602185,-102.05590509814635,9869.321894114872,24.662524892639713,720.5118002105517,72.52
6206,62,0.0574207908571848,169.9191542807229,-9.879000980399272,2857186.0615384635,-34.61608541314876,3067.1958139061167,9.879000980399272,205.00269230769246,72.54
9428,94,-0.4490556193975862,190.9047292802496,-39.14961404975127,16306473.005575282,-494.13559827778465,3863.9211490992925,39.14961404975127,32.00103902686268,71.56
6112,61,-0.6080212177935925,584.3980036808522,-7.238712876442645,4052109.5003550253,-5.5718378775956445,14153.516218799123,7.238712876442645,1606.3406753954964,73.7
3205,32,-1.754761298181444,-537.4312612034491,39.31684358244568,1201856.8727796334,68.19557336480275,42059.70169408451,39.31684358244568,31700.22206343717,78.14
3313,33,0.0505356308488212,-819.3147473094384,12.997021614348178,727141.8458605217,7.3734382547890425,19774.493978088616,12.997021614348178,24968.50148292522,73.19
1906,19,0.0209027178173336,217.5704985427301,-7.722977487422264,91450.76310679613,-9.730700041518814,4815.819615961276,7.722977487422264,693.8471660705162,75.91
5304,53,-0.8116623636746269,549.8805478629434,-64.45538460980382,7904033.707605018,-112.22363786998275,36309.4538513278,64.45538460980382,6313.585634506262,71.82
